Nota,Comentario
1,Experiência horrível com esse bootcamp. 
10,"Experiência sensacional, amei."
7,Poderia ter sido melhor em alguns aspectos.
4,A didática dos professores não era das melhores.
9,"Gostei muito, assistirei mais conteúdos dessa escola."
6,"Eu achei esse bootcamp normal, nada de especial."
10,"Incrível, o bootcamp foi perfeito."
5,Foi bem mais ou menos.
8,"Indicarei para outras pessoas, para ficar melhor deixem por mais tempo as atividades."
9,Ficaria horas assistindo novamente de tão bom que foi.
10,"Amei tudo que foi passado, aprendi bastante."